Item,avg_rainfall,pesticides_tonnes,avg_temp,Radiation,Season,hg/ha_yield
Rice,1526.71,4.68,29.98,9.32,monsoon,39947.2
Maize,264.0,4.92,17.34,6.63,winter,25720.4
Maize,728.95,19.54,27.64,7.87,post-monsoon,35399.1
Rice,310.2,4.68,29.28,6.53,summer,28446.2
Potatoes,537.21,3.69,19.78,6.11,summer,186472.3
Potatoes,919.38,2.2,21.22,5.23,monsoon,154789.1
Soybeans,843.89,73.53,19.94,7.92,post-monsoon,19687.7
Maize,1062.53,11.02,22.48,10.04,monsoon,35476.4
Soybeans,383.34,1.06,29.57,7.09,post-monsoon,15011.6
Maize,232.21,13.2,17.36,5.34,post-monsoon,22563.5
Maize,777.01,25.34,27.04,11.13,monsoon,40622.2
Maize,371.62,8.02,17.46,5.72,winter,29593.1
Rice,574.6,36.76,32.62,7.02,post-monsoon,36183.1
Potatoes,332.09,13.4,16.23,5.7,winter,147671.7
Wheat,413.32,7.41,18.26,8.88,summer,27626.0
Soybeans,423.87,1.23,21.35,6.16,winter,17495.8
Wheat,1031.03,29.92,15.66,11.76,monsoon,22784.5
Soybeans,848.68,17.19,25.5,5.38,post-monsoon,20200.7
Soybeans,941.91,4.39,27.78,7.52,post-monsoon,19898.2
Maize,1270.08,20.32,25.01,4.47,monsoon,38309.4
Wheat,867.76,12.58,18.82,9.17,monsoon,33859.1
Potatoes,219.02,14.28,13.68,1.96,winter,99412.8
Rice,293.19,3.21,17.77,6.01,winter,27891.9
Maize,576.56,3.18,21.14,7.83,post-monsoon,32958.0
Soybeans,513.61,1.25,21.58,3.86,post-monsoon,18976.2
Rice,555.23,3.03,20.5,9.13,monsoon,38660.3
Rice,373.23,50.8,21.37,6.6,post-monsoon,33626.7
Rice,260.51,6.12,31.92,4.14,summer,26860.8
Rice,1166.98,8.64,21.8,7.04,monsoon,43043.9
Wheat,1809.42,20.3,24.93,5.0,monsoon,18093.5
Soybeans,910.75,11.39,25.72,7.65,monsoon,19581.7
Rice,142.09,14.0,30.3,1.76,winter,26817.1
Soybeans,272.79,5.04,20.42,8.1,summer,15069.6
Potatoes,255.91,20.18,20.23,6.12,winter,125587.9
Maize,624.4,3.31,20.78,8.0,post-monsoon,34362.7
Wheat,837.28,4.67,18.62,6.1,monsoon,32679.0
Potatoes,441.47,2.98,19.88,10.39,summer,165115.3
Wheat,299.96,1.49,20.69,9.07,summer,25153.3
Maize,287.59,18.15,31.83,9.16,winter,26645.7
Wheat,352.52,9.57,20.17,5.5,winter,23116.0
Soybeans,1108.19,1.43,28.43,5.37,monsoon,17989.2
Wheat,567.95,1.61,20.91,3.12,summer,27925.1
Wheat,434.89,6.73,17.53,4.96,summer,25286.8
Rice,258.67,10.76,23.78,4.11,winter,29989.5
Potatoes,199.17,2.1,12.71,5.92,summer,142187.7
Wheat,455.71,1.51,18.72,3.92,monsoon,27063.9
Soybeans,1707.58,36.29,28.93,9.17,monsoon,10681.6
Maize,413.26,56.39,29.78,9.19,post-monsoon,31860.9
Rice,473.16,6.05,25.85,2.9,post-monsoon,32197.4
Wheat,565.47,15.86,20.91,5.76,monsoon,31164.3
Potatoes,437.0,5.18,21.63,5.01,summer,151679.2
Maize,346.85,24.27,24.43,9.1,winter,25778.6
Rice,430.82,7.96,32.06,5.43,post-monsoon,31235.3
Rice,262.72,3.28,30.08,7.57,winter,30634.2
Potatoes,448.76,11.51,14.34,8.94,summer,173380.7
Rice,342.45,25.76,26.35,4.72,summer,32958.1
Maize,252.47,11.32,20.2,6.69,post-monsoon,26609.0
Potatoes,636.64,19.36,13.82,7.81,post-monsoon,164536.9
Soybeans,1262.99,34.43,34.4,2.64,monsoon,12043.1
Soybeans,188.94,3.95,27.79,7.06,winter,13449.4
Potatoes,685.55,17.41,19.11,8.61,monsoon,186472.7
Maize,331.63,3.04,27.1,7.2,summer,27895.5
Wheat,859.1,20.83,21.68,5.61,post-monsoon,27482.5
Potatoes,824.91,7.55,22.48,5.67,monsoon,164891.8
Rice,234.62,12.59,29.04,8.91,winter,26077.2
Soybeans,299.14,1.54,20.19,10.88,summer,14923.3
Maize,228.64,1.57,28.38,8.02,summer,27023.0
Potatoes,207.97,7.4,14.45,6.28,summer,124561.0
Rice,483.34,3.05,28.02,3.99,post-monsoon,33494.9
Soybeans,580.39,9.38,21.35,3.21,post-monsoon,18810.5
Maize,1186.73,17.75,28.46,3.83,monsoon,38422.1
Rice,185.86,2.9,36.09,8.94,winter,23803.6
Potatoes,355.05,30.59,18.7,2.08,winter,125423.2
Rice,276.74,3.91,18.94,8.25,winter,24366.1
Maize,1680.44,20.64,21.54,10.27,monsoon,22479.4
Wheat,912.53,73.5,14.66,10.71,post-monsoon,23566.4
Soybeans,199.96,1.82,17.17,4.59,monsoon,13125.1
Potatoes,1059.69,8.01,8.0,7.47,monsoon,93803.5
Rice,332.5,1.65,32.55,9.71,winter,26164.4
Maize,478.37,36.54,23.88,8.59,post-monsoon,30923.0
Wheat,395.62,1.12,17.18,6.03,post-monsoon,23468.1
Maize,303.21,6.43,30.23,9.06,summer,23668.0
Soybeans,2035.22,9.64,30.5,5.6,monsoon,10365.1
Soybeans,355.99,4.6,22.46,5.25,post-monsoon,15849.6
Potatoes,240.32,2.05,13.52,9.1,winter,121968.9
Rice,1095.79,7.02,23.71,2.17,monsoon,40122.7
Soybeans,849.34,10.51,20.83,8.32,monsoon,20675.2
Wheat,158.6,22.08,13.32,6.8,winter,17272.7
Potatoes,735.89,27.07,21.04,3.71,monsoon,177931.3
Soybeans,714.15,14.39,20.24,3.33,monsoon,19381.1
Wheat,805.47,17.07,24.61,4.24,post-monsoon,28619.7
Potatoes,145.28,25.13,22.47,9.23,winter,132959.1
Maize,1978.44,5.81,21.91,3.16,monsoon,16839.6
Wheat,521.81,21.8,24.19,7.46,post-monsoon,30407.0
Potatoes,716.67,9.13,30.15,6.51,post-monsoon,111595.3
Wheat,1355.43,2.3,18.38,8.47,monsoon,20702.8
Rice,925.55,12.09,31.47,9.25,monsoon,46767.1
Rice,743.57,13.67,26.72,9.9,post-monsoon,35401.5
Potatoes,274.83,8.81,13.06,4.88,winter,141892.8
Rice,512.24,10.53,16.87,4.32,post-monsoon,32055.4
Maize,269.17,9.32,25.39,11.06,winter,29707.9
Rice,267.18,7.26,23.01,8.57,winter,28261.2
Soybeans,432.06,19.85,14.71,8.51,summer,14940.9
Wheat,451.47,14.01,22.74,4.8,summer,26640.8
Maize,200.62,22.79,24.64,8.58,winter,26420.8
Potatoes,1177.88,9.29,16.79,6.82,monsoon,134847.7
Potatoes,440.32,27.62,21.92,4.47,summer,143333.9
Potatoes,1324.82,6.81,8.48,10.33,monsoon,75434.3
Rice,338.91,1.82,14.96,5.01,summer,21983.6
Soybeans,78.26,9.06,22.03,2.03,winter,11483.5
Soybeans,395.09,14.18,27.93,10.37,winter,14509.0
Soybeans,268.68,63.84,26.36,6.19,post-monsoon,17717.4
Maize,495.13,9.13,30.48,5.11,summer,31830.9
Potatoes,185.31,4.98,14.39,10.1,winter,147495.2
Maize,280.54,4.19,25.43,9.95,summer,32686.3
Rice,422.45,12.41,26.9,4.91,winter,29703.1
Wheat,1232.85,13.29,28.43,4.99,monsoon,23930.6
Potatoes,725.74,30.08,13.4,1.94,post-monsoon,155604.7
Potatoes,491.86,33.02,22.36,7.24,post-monsoon,167241.3
Rice,1414.98,11.4,16.47,5.36,monsoon,38869.0
Wheat,237.64,2.35,28.7,7.0,winter,19188.8
Soybeans,380.91,8.34,29.3,10.78,summer,17073.7
Rice,50.95,3.64,21.03,5.38,winter,25306.6
Rice,265.9,14.51,18.45,4.9,winter,22480.0
Soybeans,610.09,2.49,28.54,5.08,summer,18201.4
Maize,428.59,7.06,25.39,9.15,post-monsoon,31419.2
Soybeans,389.64,2.01,23.62,11.93,summer,14464.9
Rice,852.52,12.93,28.59,6.89,post-monsoon,39255.2
Soybeans,165.54,53.83,20.94,4.08,winter,14719.0
Rice,615.83,7.59,19.1,6.64,summer,35949.7
Potatoes,230.53,7.95,28.23,5.31,winter,97034.6
Soybeans,888.21,6.8,23.26,9.1,monsoon,21362.2
Potatoes,196.86,11.64,17.61,8.06,winter,135480.6
Wheat,272.1,19.41,28.92,8.11,winter,22924.4
Wheat,473.12,3.99,21.51,12.68,summer,27843.5
Wheat,469.87,10.4,24.82,8.98,summer,26859.9
Rice,1265.98,6.84,23.82,8.39,monsoon,41510.2
Potatoes,67.3,9.46,16.31,6.51,summer,122455.4
Potatoes,1148.71,10.79,14.33,9.53,monsoon,120283.2
Potatoes,694.51,1.96,20.98,5.78,summer,175430.3
Soybeans,170.74,2.85,24.6,7.8,summer,15277.7
Potatoes,796.1,9.07,18.51,4.22,monsoon,189789.1
Soybeans,387.77,5.55,21.42,10.83,post-monsoon,17332.0
Potatoes,223.4,5.84,20.54,4.66,summer,136436.9
Soybeans,1874.04,5.72,19.05,9.48,monsoon,11149.6
Rice,451.86,1.2,26.11,8.69,winter,37253.5
Maize,197.09,9.85,29.13,5.07,winter,27240.2
Soybeans,442.86,12.57,27.92,11.92,summer,15414.4
Soybeans,264.5,2.64,21.25,2.67,winter,16323.8
Wheat,209.83,11.67,16.98,9.3,summer,23449.5
Potatoes,620.47,5.54,14.35,4.23,monsoon,182241.3
Soybeans,233.94,5.82,15.65,7.12,winter,12262.5
Potatoes,218.11,7.97,16.13,4.25,summer,133765.8
Soybeans,270.03,29.63,26.84,4.97,summer,13307.1
Potatoes,226.27,1.38,14.94,5.32,winter,130940.3
Wheat,721.68,1.27,9.45,6.9,post-monsoon,23653.7
Soybeans,331.92,7.74,24.92,10.13,winter,16090.5
Maize,222.19,4.4,26.43,4.92,summer,25419.8
Rice,697.47,2.02,33.66,11.8,summer,28248.7
Rice,119.7,21.05,27.47,5.2,winter,24120.9
Soybeans,941.0,5.86,27.93,4.43,monsoon,18527.2
Wheat,807.78,21.32,28.3,7.44,post-monsoon,28100.3
Soybeans,177.06,5.62,27.37,7.87,winter,12813.5
Wheat,177.91,4.28,18.4,12.12,winter,19024.2
Wheat,1022.53,20.54,22.68,7.44,post-monsoon,28794.9
Potatoes,506.97,1.67,11.03,5.89,monsoon,154412.3
Potatoes,243.44,6.49,20.43,10.47,winter,136190.6
Maize,193.39,1.08,19.92,3.89,winter,26334.1
Wheat,468.12,13.87,27.26,5.62,post-monsoon,27662.5
Soybeans,997.16,10.47,26.32,6.1,monsoon,23367.8
Potatoes,443.76,2.23,20.04,8.09,summer,161948.0
Potatoes,250.63,2.53,8.0,7.4,winter,131010.6
Rice,678.4,17.72,28.56,9.98,post-monsoon,34079.8
Maize,798.95,13.49,21.48,5.1,post-monsoon,35453.8
Maize,559.94,3.6,30.03,6.85,monsoon,34030.1
Maize,1522.23,5.42,32.12,10.65,monsoon,20327.9
Wheat,805.37,2.84,10.01,8.13,monsoon,25401.1
Soybeans,665.95,1.88,18.94,4.3,post-monsoon,16962.6
Maize,952.07,24.9,27.61,9.41,monsoon,41239.7
Rice,612.63,3.26,28.74,7.47,post-monsoon,33522.5
Rice,205.3,1.78,26.8,6.45,winter,27524.8
Maize,20.82,8.57,18.01,7.22,winter,22157.3
Potatoes,460.4,1.57,22.39,5.95,summer,152036.2
Soybeans,570.76,4.61,27.98,9.15,summer,17819.6
Maize,288.43,4.97,38.24,8.74,summer,25421.4
Rice,1419.31,4.17,31.5,7.93,monsoon,45329.3
Wheat,376.38,15.9,18.03,7.32,post-monsoon,25923.0
Rice,439.63,17.65,27.84,6.36,summer,33917.6
Wheat,386.88,21.25,17.9,9.17,summer,27694.5
Wheat,1371.11,1.46,27.61,7.09,monsoon,19165.6
Rice,101.29,7.1,29.41,7.84,winter,28709.2
Rice,1198.34,37.96,18.42,5.96,monsoon,41834.9
Maize,337.66,1.85,22.51,5.04,winter,25755.2
Maize,95.03,26.04,27.36,2.42,winter,18644.9
Soybeans,68.39,5.25,23.57,6.62,winter,13074.3
Wheat,951.85,1.88,23.44,4.77,monsoon,30796.3
Maize,292.44,38.33,22.66,4.99,winter,26737.3
Maize,371.59,33.76,26.1,10.92,summer,28285.1
Maize,310.51,7.0,20.55,4.87,summer,23437.6
Maize,205.16,17.14,20.51,10.61,winter,22728.9
Soybeans,422.88,7.4,18.02,6.45,summer,15507.2
Rice,346.41,36.43,26.38,6.01,summer,30063.0
Potatoes,215.01,18.91,19.35,6.89,winter,135143.2
Rice,647.17,1.86,29.44,9.95,monsoon,40656.3
Wheat,545.05,11.89,14.89,4.57,summer,24951.1
Soybeans,264.47,5.28,22.45,5.46,summer,15056.3
Soybeans,758.58,3.58,36.52,9.0,post-monsoon,16340.9
Maize,48.92,3.67,22.41,1.0,winter,20957.0
Soybeans,261.45,6.36,20.31,8.13,winter,15675.2
Potatoes,268.8,4.16,10.96,7.54,winter,106775.7
Wheat,124.3,2.42,19.1,5.66,winter,22729.2
Rice,946.3,4.98,30.13,6.16,post-monsoon,37376.0
Rice,451.66,3.7,30.04,9.02,summer,29220.8
Wheat,453.37,26.53,21.32,8.55,summer,31215.6
Wheat,366.35,31.19,13.65,8.86,summer,20471.8
Wheat,276.02,6.2,21.49,5.56,winter,18503.2
Rice,1682.63,7.82,28.99,5.65,monsoon,44872.9
Rice,459.46,17.39,32.25,5.58,monsoon,34879.0
Wheat,588.09,8.85,12.94,12.65,summer,21109.6
Wheat,126.16,8.91,23.09,9.52,winter,19052.2
Maize,103.37,5.27,28.56,10.07,post-monsoon,24467.1
Rice,1075.49,9.58,30.41,9.86,post-monsoon,44228.5
Soybeans,758.06,2.99,18.06,7.45,post-monsoon,20340.9
Maize,382.89,13.55,28.29,2.35,winter,27756.6
Potatoes,675.98,10.73,23.42,4.44,post-monsoon,150450.7
Maize,290.04,14.69,23.09,6.41,winter,25792.5
Maize,322.03,17.54,28.42,7.39,winter,23003.1
Wheat,1258.02,4.7,22.98,4.8,monsoon,25984.7
Rice,876.0,21.03,27.66,7.32,post-monsoon,41472.6
Wheat,816.95,2.59,27.06,7.46,post-monsoon,30490.7
Soybeans,283.2,1.3,26.92,6.62,summer,13481.3
Soybeans,177.95,21.13,20.69,8.04,summer,13690.3
Soybeans,419.82,20.62,11.88,8.07,summer,13928.0
Soybeans,117.44,24.81,19.99,8.91,winter,13453.5
Soybeans,393.8,44.11,25.8,4.84,winter,16445.6
Potatoes,386.0,2.35,10.02,5.1,summer,133667.7
Soybeans,532.38,48.68,21.46,5.96,post-monsoon,20388.5
Wheat,929.83,16.24,28.6,2.24,monsoon,23094.3
Wheat,341.67,24.66,20.7,10.96,summer,21923.0
Potatoes,137.72,4.16,24.59,9.23,winter,107415.2
Soybeans,439.27,12.96,29.08,4.34,summer,17717.8
Potatoes,391.84,32.03,17.43,4.59,winter,138195.8
Potatoes,522.31,4.45,17.85,9.32,summer,192360.1
Potatoes,1174.14,1.19,23.72,4.65,monsoon,108676.4
Soybeans,369.88,33.36,15.84,7.59,winter,13307.8
Soybeans,502.91,16.24,26.06,3.57,post-monsoon,18245.7
Wheat,522.62,7.18,19.67,12.12,summer,26191.2
Maize,698.01,15.28,26.9,3.91,monsoon,35407.7
Potatoes,398.23,23.55,18.63,6.07,summer,144265.0
Potatoes,1047.28,1.11,19.96,5.53,monsoon,150150.0
Rice,42.12,2.54,27.71,10.37,summer,31397.1
Rice,229.72,2.25,20.37,10.42,winter,24273.4
Soybeans,572.87,17.1,18.84,8.49,summer,17333.7
Potatoes,189.97,46.07,14.11,10.38,summer,130964.9
Soybeans,224.25,36.41,30.78,6.5,winter,13285.3
Wheat,1348.01,4.33,14.18,4.22,monsoon,17430.2
Soybeans,172.78,37.94,16.88,5.02,winter,12352.9
Maize,397.38,7.35,30.0,11.24,winter,23663.3
Rice,549.85,47.38,33.36,6.72,summer,31610.7
Maize,1443.15,20.18,25.02,8.55,monsoon,35929.2
Maize,568.37,15.02,26.61,11.05,post-monsoon,31397.2
Rice,487.52,1.77,28.9,5.63,summer,34022.3
Soybeans,208.99,5.36,24.56,9.87,post-monsoon,14949.6
Rice,215.62,4.1,23.39,6.62,winter,33003.0
Soybeans,464.37,27.61,23.13,3.68,summer,17594.4
Rice,164.94,12.17,31.91,6.76,winter,24094.6
Maize,1298.3,11.08,16.28,7.63,monsoon,27165.8
Maize,525.48,35.89,25.11,6.83,summer,36526.0
Soybeans,804.28,5.7,24.59,6.5,post-monsoon,18291.6
Wheat,477.55,6.98,26.29,10.08,summer,27160.4
Maize,469.17,2.09,10.73,4.86,summer,18739.5
Potatoes,767.55,1.17,8.7,7.11,post-monsoon,143909.1
Rice,1521.6,38.44,31.15,8.05,monsoon,41775.4
Wheat,647.23,4.09,20.32,13.28,monsoon,29545.8
Maize,631.56,3.24,34.66,10.22,post-monsoon,25583.2
Wheat,280.84,19.96,12.45,6.79,summer,22803.6
Maize,1586.55,4.23,20.02,8.47,monsoon,25378.2
Maize,917.28,2.0,22.65,10.04,monsoon,37882.4
Soybeans,324.98,32.22,25.78,6.23,winter,14054.6
Rice,723.14,16.2,25.52,8.34,monsoon,38005.5
Maize,1409.08,5.68,39.48,9.2,monsoon,22444.2
Soybeans,529.09,4.14,22.25,5.56,post-monsoon,18701.0
Soybeans,494.22,5.64,17.89,6.76,monsoon,16073.1
Rice,134.42,4.32,16.38,7.72,winter,20719.2
Wheat,963.65,9.13,27.2,6.38,monsoon,28523.5
Potatoes,186.98,7.48,10.36,9.4,winter,111394.8
Maize,1564.54,5.11,17.36,4.36,monsoon,24327.2
Wheat,511.04,6.48,15.17,4.56,post-monsoon,27160.1
Soybeans,361.19,24.45,19.54,10.83,post-monsoon,15475.5
Potatoes,679.01,60.45,20.49,8.62,monsoon,166627.1
Potatoes,470.2,2.77,15.38,6.59,post-monsoon,179627.9
Maize,1539.02,7.77,37.49,1.33,monsoon,15047.3
Potatoes,305.59,11.11,16.41,9.35,monsoon,160667.1
Rice,462.68,5.46,27.14,6.88,post-monsoon,31670.1
Wheat,316.06,2.72,22.24,6.38,monsoon,25136.4
Wheat,456.59,20.8,25.58,7.57,summer,27060.6
Soybeans,325.57,4.7,23.65,10.99,summer,15850.2
Rice,1375.67,4.7,24.26,2.26,monsoon,42033.0
Maize,640.21,14.19,20.53,14.73,post-monsoon,25359.2
Maize,524.43,1.94,26.81,8.06,summer,35288.8
Rice,343.13,12.31,23.92,8.44,summer,31663.8
Rice,668.11,6.0,24.34,9.1,post-monsoon,33952.4
Soybeans,171.19,22.72,19.18,9.7,winter,13962.7
Rice,1204.94,10.3,23.93,7.1,monsoon,48799.6
Soybeans,1392.44,2.22,28.04,3.59,monsoon,14294.0
Soybeans,306.43,32.67,23.69,4.35,summer,12988.1
Rice,272.93,6.27,17.25,6.12,winter,17364.8
Potatoes,575.76,2.61,22.73,4.75,summer,148444.7
Maize,621.52,1.96,22.59,2.55,post-monsoon,26890.2
Maize,492.92,14.36,25.2,5.16,winter,26166.5
Potatoes,555.37,2.15,23.89,8.49,post-monsoon,137389.5
Rice,138.55,1.7,28.68,5.77,winter,27434.9
Wheat,615.17,77.66,16.67,6.59,post-monsoon,28231.6
Wheat,391.27,16.09,24.45,8.77,summer,25744.7
Potatoes,444.84,5.38,21.32,9.46,summer,145994.0
Wheat,303.02,5.78,22.98,1.64,summer,23464.0
Potatoes,363.31,1.69,20.72,9.11,winter,151673.5
Potatoes,503.15,39.03,21.78,3.51,post-monsoon,169106.3
Soybeans,232.77,4.22,25.43,4.89,summer,16105.0
Soybeans,458.9,2.9,21.11,9.2,summer,17746.8
Wheat,873.11,17.87,19.71,9.14,monsoon,34329.8
Maize,144.37,10.98,19.03,4.6,post-monsoon,19521.5
Maize,1017.58,3.22,26.9,8.73,monsoon,39135.2
Soybeans,738.13,3.5,23.65,4.03,post-monsoon,21143.2
Soybeans,474.72,7.61,37.46,4.55,summer,12890.9
Maize,331.72,14.57,30.37,8.24,summer,31568.4
Soybeans,999.6,7.64,17.81,4.13,monsoon,17891.8
Wheat,672.24,27.17,20.27,5.82,summer,29751.4
Rice,1294.37,9.06,25.05,6.47,monsoon,49971.3
Soybeans,759.09,37.65,24.81,8.72,monsoon,21497.9
Rice,332.94,1.04,38.47,6.07,summer,25179.1
Rice,133.18,5.27,21.55,8.62,winter,28542.9
Rice,376.54,30.25,27.95,7.25,summer,32372.5
Soybeans,236.62,2.05,20.25,4.22,winter,14929.3
Rice,493.5,3.88,26.1,7.4,post-monsoon,41013.9
Potatoes,847.53,7.51,13.94,6.5,monsoon,153797.4
Soybeans,474.92,19.53,25.38,10.16,summer,18917.1
Rice,373.64,3.29,32.97,9.55,summer,31705.2
Wheat,196.31,67.95,22.98,8.36,winter,18192.6
Rice,361.14,27.12,33.46,8.05,summer,32844.4
Wheat,943.36,2.18,28.56,4.27,post-monsoon,24565.4
Soybeans,215.89,12.67,15.37,4.43,winter,10861.3
Rice,531.55,13.0,33.21,7.82,summer,32920.1
Maize,125.94,2.89,25.59,9.08,winter,26330.0
Potatoes,655.29,1.86,15.9,5.0,monsoon,160966.5
Wheat,381.73,1.65,25.08,7.1,winter,24754.5
Rice,256.08,5.13,36.51,4.34,winter,21821.0
Rice,319.5,8.47,34.33,8.72,winter,24874.5
Rice,1170.27,2.94,29.9,6.75,monsoon,48657.4
Wheat,215.17,8.58,21.14,6.37,summer,23858.3
Wheat,358.73,16.06,17.32,10.32,summer,21199.7
Rice,1280.27,1.3,26.9,7.05,monsoon,44546.0
Maize,328.54,4.96,30.65,5.31,winter,23603.1
Soybeans,610.51,3.09,17.76,6.26,monsoon,19832.0
Wheat,626.53,18.62,19.65,4.52,post-monsoon,26976.5
Wheat,480.83,8.94,21.36,10.52,summer,26744.5
Potatoes,314.83,5.1,20.96,8.02,summer,152198.1
Maize,734.37,14.16,30.92,8.81,summer,32621.2
Potatoes,252.29,1.9,16.48,6.8,winter,103924.7
Rice,622.97,13.54,27.1,4.03,summer,36420.3
Maize,440.73,12.83,29.79,5.02,summer,29055.1
Potatoes,472.64,8.28,20.48,7.0,summer,171132.9
Wheat,1032.31,5.23,23.27,5.54,post-monsoon,28567.4
Rice,1050.84,1.19,27.4,4.68,monsoon,45335.2
Rice,317.28,18.28,28.44,4.69,summer,28742.5
Rice,216.94,8.25,17.85,4.48,summer,22804.0
Potatoes,182.68,6.38,18.74,6.71,winter,115072.7
Rice,466.99,20.65,31.3,5.52,winter,34682.0
Wheat,1923.21,30.98,28.59,7.33,monsoon,15622.6
Maize,161.04,36.78,24.15,6.34,post-monsoon,25793.1
Maize,568.48,10.63,18.68,8.22,post-monsoon,26087.8
Soybeans,1295.2,4.35,23.71,3.51,monsoon,14924.8
Maize,530.01,9.06,25.91,4.06,post-monsoon,33931.6
Wheat,565.28,25.9,23.5,6.11,monsoon,33165.0
Rice,1341.63,9.15,25.6,6.6,monsoon,45968.0
Rice,646.3,1.42,22.02,4.8,post-monsoon,38480.6
Rice,540.92,2.45,33.41,6.05,summer,32917.5
Maize,1119.46,5.02,32.45,4.97,monsoon,31738.3
Potatoes,434.69,33.47,26.01,6.5,summer,132057.5
Maize,70.24,2.2,36.77,7.8,winter,14930.6
Rice,725.49,14.67,29.57,7.11,monsoon,46953.7
Wheat,388.43,1.76,32.5,8.37,summer,21752.0
Wheat,325.21,9.98,22.75,7.11,summer,28750.0
Maize,504.85,3.83,22.53,9.17,post-monsoon,28061.5
Soybeans,190.38,19.32,28.84,9.48,winter,14802.3
Maize,209.15,1.9,21.87,5.94,winter,26480.5
Soybeans,1388.59,36.45,23.13,5.27,monsoon,15615.0
Soybeans,709.98,2.58,15.56,6.99,monsoon,17877.3
Soybeans,1158.34,19.2,15.29,6.27,monsoon,15168.8
Soybeans,787.41,52.17,22.63,4.76,monsoon,21668.9
Rice,879.74,3.3,17.69,7.28,post-monsoon,36905.1
Rice,286.83,27.93,32.01,9.23,winter,28733.9
Potatoes,1137.7,12.2,13.5,9.16,monsoon,126585.1
Potatoes,333.64,2.47,18.69,4.56,winter,131748.4
Soybeans,1072.13,8.44,29.13,3.55,monsoon,17415.7
Rice,806.36,1.81,20.0,8.47,post-monsoon,35430.0
Wheat,402.96,23.27,27.2,5.15,winter,21677.6
Soybeans,1192.48,3.79,30.27,8.97,monsoon,17030.5
Potatoes,467.12,6.92,17.65,4.16,summer,161640.1
Potatoes,192.63,19.33,16.82,4.65,winter,138664.2
Maize,886.72,6.49,31.54,1.82,monsoon,30297.5
Soybeans,1250.0,4.9,12.9,4.01,monsoon,12992.9
Soybeans,479.08,12.55,32.18,6.45,summer,15954.8
Wheat,106.09,8.54,25.42,6.71,summer,22283.4
Wheat,499.6,3.21,37.56,9.02,summer,18100.7
Soybeans,262.65,21.88,19.85,10.36,summer,16046.3
Soybeans,563.63,15.84,22.37,7.14,post-monsoon,19963.9
Maize,886.15,42.46,25.11,8.97,monsoon,39279.1
Wheat,366.89,29.38,24.63,8.19,summer,25587.3
Rice,209.13,9.4,30.63,8.3,summer,32910.6
Wheat,643.06,14.58,25.69,8.07,post-monsoon,27484.4
Wheat,485.65,27.71,30.19,9.61,summer,26487.1
Maize,173.54,7.41,29.81,4.9,winter,23382.4
Maize,397.94,24.33,15.99,5.34,summer,20026.3
Wheat,553.46,5.53,23.43,6.19,post-monsoon,31638.6
Potatoes,531.6,7.64,16.05,3.82,summer,159294.3
Soybeans,630.02,8.51,25.13,7.77,post-monsoon,20094.5
Maize,211.74,11.72,16.87,5.07,winter,22867.4
Maize,253.61,10.65,30.19,7.84,winter,28037.9
Wheat,257.39,42.61,16.65,9.39,winter,25533.2
Wheat,1393.89,12.01,14.22,7.0,monsoon,16826.9
Wheat,330.04,14.9,21.49,3.81,summer,23572.1
Wheat,1410.45,1.88,19.0,7.14,monsoon,19987.6
Maize,498.86,42.66,30.95,8.21,summer,31703.0
Rice,383.71,11.77,27.23,4.32,post-monsoon,33462.6
Rice,394.41,7.63,19.98,6.66,summer,30934.0
Wheat,178.46,41.58,26.08,3.55,summer,19746.3
Potatoes,545.9,3.7,17.65,8.72,post-monsoon,165569.6
Wheat,994.61,24.13,21.93,7.37,monsoon,30328.5
Rice,454.97,23.4,29.27,3.04,summer,32331.7
Rice,833.44,1.83,23.7,5.56,monsoon,44306.1
Wheat,544.74,32.28,19.96,9.27,summer,29162.1
Potatoes,239.12,8.39,16.94,8.87,winter,137759.4
Maize,708.8,10.83,22.35,4.83,post-monsoon,34652.1
Maize,233.89,11.57,19.35,7.68,winter,19245.7
Soybeans,1405.92,17.87,28.87,5.74,monsoon,13829.1
Potatoes,182.96,3.02,12.36,7.77,winter,103344.3
Soybeans,298.1,10.91,33.01,3.75,winter,9635.9
Soybeans,430.61,6.55,21.77,6.5,summer,18466.1
Maize,490.41,7.91,26.27,7.01,summer,34947.6
Wheat,723.21,3.34,27.03,5.15,monsoon,28461.1
Maize,964.97,1.35,36.91,8.97,monsoon,29243.3
Soybeans,383.04,3.86,28.54,8.66,summer,16543.4
Wheat,163.4,2.09,21.12,5.42,summer,23940.3
Wheat,422.85,11.7,19.91,12.17,summer,25974.4
Rice,479.38,10.34,28.67,5.98,post-monsoon,28764.7
Soybeans,288.83,15.43,21.63,8.33,winter,17742.8
Maize,683.7,5.95,20.65,12.53,post-monsoon,31563.2
Potatoes,637.17,15.35,13.57,8.28,summer,148801.3
Maize,1445.89,7.92,20.26,3.63,monsoon,27902.8
Wheat,996.06,1.81,14.17,4.03,post-monsoon,23065.5
Potatoes,328.7,20.07,22.24,5.89,monsoon,170721.1
Potatoes,872.18,25.79,15.67,9.2,post-monsoon,135263.9
Maize,655.37,25.9,31.11,8.3,post-monsoon,37346.4
Rice,720.62,7.15,25.17,14.1,post-monsoon,38851.1
Rice,381.99,7.44,30.23,8.43,post-monsoon,34496.3
Rice,236.94,12.3,17.89,4.82,winter,26418.7
Rice,345.48,4.37,25.55,5.38,winter,33797.4
